Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176910,176240,178340,177520,179860,181760,181430,181620,192480,190050,188150,187070,200540,204790,206540,214590,207360,222120,228720,226690,236740,240760,242120,239650,239530,241780,245470,246650,246600,245350,,
Afghanistan,AFG,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2710,2790,2740,2770,2600,2710,2940,3240,3530,3800,3270,2860,3330,3460,3430,3580,3400,3320,3600,3860,4270,4370,4400,4440,4740,4260,4680,4900,4310,4630,,
Africa Western and Central,AFW,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69070,72220,73110,74620,75830,76690,79640,81410,86790,86780,92880,87310,88930,96180,95280,103380,103320,103290,105030,102270,108430,112300,113540,117820,118450,122040,131880,132310,134480,135870,,
Angola,AGO,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15100,15130,15180,15120,15070,15050,13510,13270,14680,13550,13960,14290,15470,17760,17860,17560,16170,17310,16360,16420,17280,17850,16900,17440,16880,17580,17650,18060,16140,18170,,
Albania,ALB,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1010,960,1030,1260,1260,1110,1040,1080,1030,1080,1040,1190,1200,1160,1160,1100,1100,1030,1020,1020,1050,1050,1020,1040,1080,1110,1080,960,980,,
Andorra,AND,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60270,59240,60170,63360,63950,65440,68350,69220,72550,73460,75830,75300,78260,77240,80640,82360,81100,81830,80350,81610,79670,81910,82870,84270,83720,84150,85090,85490,85400,86870,,
United Arab Emirates,ARE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,270,310,330,370,400,420,430,450,470,480,490,560,590,590,620,620,640,680,700,690,690,650,690,710,750,760,770,780,790,,
Argentina,ARG,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34040,33850,34520,33980,34930,34930,35130,35420,35030,35260,37360,37180,37710,41550,41660,41200,42510,44840,43440,37920,38970,40000,39450,40820,41180,40750,43680,46180,45340,45650,,
Armenia,ARM,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,720,650,550,490,480,490,480,470,450,460,470,550,540,590,560,870,710,680,740,680,710,870,930,880,990,1520,1120,1070,1170,,
American Samoa,ASM,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Australia,AUS,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74660,73860,72700,72070,71860,71600,65590,64440,68670,85620,93510,103500,96150,55580,79260,56230,75740,70690,54770,58630,47490,101120,100540,57930,70380,66550,52100,74160,71490,55590,,
Austria,AUT,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3240,3200,3090,2980,2980,2910,2960,2920,2880,2840,2760,2760,2640,2550,2560,2560,2510,2410,2480,2410,2460,2510,2550,2550,2650,2640,2660,2600,2550,2570,,
Azerbaijan,AZE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2580,2420,2070,1840,1720,1700,1630,1730,1760,1830,1840,2030,2140,2210,2330,2370,2490,2500,2680,2720,2680,2760,2840,2870,2950,3340,3300,3190,3480,3340,,
Burundi,BDI,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,920,930,910,860,900,890,900,880,900,900,910,900,900,930,940,980,990,1040,1090,1160,1230,1260,1400,1400,1370,1510,1710,1760,1620,,
Belgium,BEL,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3770,3780,3700,3690,3690,3730,3790,3720,3720,3800,2710,2660,3520,3420,3380,3330,3260,3320,3230,3360,3450,3410,3370,3360,3430,3470,3340,3290,3310,3320,,
Benin,BEN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1560,1580,1600,1700,1630,1920,2020,2130,2090,2250,1810,2120,1880,1790,2180,1960,2030,1810,1910,1950,1990,2040,2140,2130,2080,2270,2170,2520,2400,,
Burkina Faso,BFA,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4560,4770,4860,4940,5040,5160,5100,5350,5420,5580,6040,5500,5850,7160,7340,7620,7420,7550,7700,7870,8230,8210,8260,8540,8600,8680,9160,9180,9280,9470,,
Bangladesh,BGD,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15190,15970,16260,16630,17270,18510,19000,18470,18460,19660,19780,20180,20710,20190,20270,21000,21990,22050,24090,23560,24060,25040,24400,24550,25430,26050,25090,26210,26900,26450,,
Bulgaria,BGR,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5990,5430,3790,3180,3190,2510,2570,2650,2450,2340,2480,2680,3240,3310,3060,2620,2280,2540,2760,3060,2980,3620,2820,3190,3250,3390,3440,3500,3500,3530,,
Bahrain,BHR,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,10,20,20,20,20,10,10,20,30,30,30,30,20,30,20,30,40,40,40,40,40,40,50,70,60,,
"Bahamas, The",BHS,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,20,20,20,30,20,20,20,20,10,30,20,20,20,30,20,20,30,20,30,20,20,20,30,20,20,,
Bosnia and Herzegovina,BIH,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,710,680,640,600,540,460,570,720,770,780,710,700,670,860,810,810,820,760,1080,1060,1190,1280,1200,1300,1340,1200,1200,1080,1150,,
Belarus,BLR,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16310,15300,11960,11640,11110,11000,11000,11020,10920,10870,10710,10700,10370,10630,10840,11180,11640,11490,12000,12200,12030,12560,12410,12180,11770,11670,10930,11330,11190,11090,,
Belize,BLZ,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,90,80,80,90,100,90,90,160,220,100,110,100,110,110,140,120,160,150,220,220,220,220,210,190,220,,
Bermuda,BMU,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4830,4950,5050,5170,5320,5450,5250,5450,5790,6120,5810,5780,6650,6340,7190,7740,7390,7360,7360,7340,9190,8110,8120,8090,7650,8170,8660,8450,8360,9270,,
